ID,Nombre,Equipo,Puntaje,Competencias
10,ayu,Fnatic,30.59,32
23,app,100 Thieves,6.89,21
44,zpc,G2 Esports,96.30,21
0,adg,Sentinels,0.22,37
39,quw,Sentinels,35.11,13
35,egz,100 Thieves,29.89,45
34,exl,MAD Lions,66.89,42
8,ixi,T1,68.93,4
7,wec,Hanwha Life Esports,29.11,3
24,dwc,Damwon Gaming,11.65,11
46,com,Hanwha Life Esports,30.70,4
12,xtj,FlyQuest,6.59,45
28,dwi,T1,77.72,44
17,mkt,Hanwha Life Esports,46.67,32
15,wsw,100 Thieves,88.32,26
30,gxx,MAD Lions,54.11,29
29,fzh,Hanwha Life Esports,49.27,6
48,apt,Cloud9,84.42,44
32,xrp,G2 Esports,28.75,7
6,sew,Gen.G,56.01,42
43,xlp,Rogue,47.54,29
38,gnr,T1,53.68,36
19,igs,Gen.G,6.90,27
3,jnp,T1,8.98,39
16,ead,Gen.G,76.10,20
45,tmy,FlyQuest,87.59,5
31,eps,FlyQuest,88.44,5
14,ane,G2 Esports,14.94,34
47,sak,Immortals,97.00,30
36,ggr,100 Thieves,88.71,28
21,yex,Immortals,37.78,1
22,auv,Rogue,76.13,39
40,sto,100 Thieves,14.47,1
9,tgi,G2 Esports,54.18,23
27,wxt,Hanwha Life Esports,36.81,35
26,yih,FlyQuest,91.03,10
11,dhu,Sentinels,43.97,10
37,byh,Gen.G,79.64,11
4,xrd,Rogue,15.73,4
2,tvr,Sentinels,49.00,6
13,qnm,Sentinels,65.66,29
1,zoc,Immortals,74.14,35
33,krd,MAD Lions,86.88,41
20,rhv,Rogue,48.14,18
25,pkr,Cloud9,16.49,7
42,kot,Sentinels,6.50,8
5,spx,Rogue,76.36,29
49,bxf,Rogue,7.68,19
18,lkz,MAD Lions,23.93,17
41,cvc,MAD Lions,7.88,44
